Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
2022-23,24.0,BOS,NBA,SF,20.0,20.0,799.0,22.6,0.585,0.406,0.339,3.8,25.6,15.0,21.4,1.3,2.3,10.8,29.4,1.7,1.1,2.8,0.168,4.0,1.3,5.3,1.5,,tatumja01,
2023-24,25.0,BOS,NBA,PF,19.0,19.0,768.0,20.1,0.549,0.371,0.368,2.6,25.3,14.1,25.5,1.4,1.6,10.4,29.2,1.3,1.3,2.7,0.167,2.3,1.4,3.7,1.1,,tatumja01,
2024-25,26.0,BOS,NBA,PF,8.0,8.0,322.0,24.0,0.566,0.446,0.309,3.3,28.0,16.0,25.3,2.8,1.7,11.6,31.9,0.6,0.8,1.3,0.201,5.4,3.2,8.6,0.9,,tatumja01,
1999-00,23.0,TOR,NBA,SF,3.0,3.0,119.0,18.2,0.456,0.2,0.62,8.6,9.7,9.1,35.5,1.4,2.9,11.2,28.3,0.2,0.1,0.3,0.123,4.7,-0.3,4.4,0.2,,cartevi01,
2000-01,24.0,TOR,NBA,SF,12.0,12.0,539.0,23.0,0.523,0.218,0.264,8.1,9.7,8.9,20.5,2.0,2.8,8.0,29.6,1.5,0.5,2.0,0.178,6.8,0.2,7.0,1.2,,cartevi01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartevi01,
2004-05,28.0,NJN,NBA,SF,4.0,4.0,179.0,17.6,0.478,0.198,0.375,5.2,18.3,11.0,27.5,2.6,0.0,11.8,32.1,0.0,0.1,0.1,0.028,3.8,0.5,4.2,0.3,,cartevi01,
2005-06,29.0,NJN,NBA,SG,11.0,11.0,450.0,26.8,0.559,0.238,0.443,4.2,17.6,10.7,27.8,2.4,1.3,8.2,33.8,1.3,0.6,1.9,0.207,7.4,2.0,9.4,1.3,,cartevi01,
2006-07,30.0,NJN,NBA,SG,12.0,12.0,487.0,16.9,0.49,0.23,0.374,4.3,15.7,10.1,26.9,1.2,1.2,12.2,30.8,0.1,0.8,0.9,0.091,2.0,-0.5,1.5,0.4,,cartevi01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartevi01,
2009-10,33.0,ORL,NBA,SG,14.0,14.0,480.0,13.4,0.506,0.277,0.375,2.4,12.5,7.6,12.7,1.4,0.5,9.3,24.4,0.3,0.8,1.2,0.117,-0.8,-0.1,-0.9,0.1,,cartevi01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartevi01,
2011-12,35.0,DAL,NBA,SG,4.0,0.0,107.0,6.2,0.371,0.244,0.195,5.3,20.5,12.4,1.7,2.5,1.6,11.9,21.7,-0.3,0.1,-0.2,-0.095,-4.9,-0.4,-5.3,-0.1,,cartevi01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartevi01,
2013-14,37.0,DAL,NBA,SG,7.0,0.0,190.0,17.5,0.593,0.456,0.206,4.0,12.0,7.7,13.7,0.8,0.9,7.5,19.0,0.5,0.1,0.6,0.141,5.0,0.2,5.1,0.3,,cartevi01,
2014-15,38.0,MEM,NBA,SG,11.0,0.0,196.0,13.7,0.486,0.418,0.134,7.2,19.5,13.2,9.3,1.9,0.9,9.0,18.2,0.1,0.2,0.3,0.085,-0.2,1.7,1.5,0.2,,cartevi01,
2015-16,39.0,MEM,NBA,SG,4.0,4.0,91.0,19.4,0.616,0.303,0.242,5.5,15.0,9.5,10.9,1.2,1.0,7.6,20.0,0.3,0.0,0.3,0.14,5.4,0.3,5.7,0.2,,cartevi01,
2016-17,40.0,MEM,NBA,SF,6.0,6.0,195.0,8.1,0.61,0.476,0.167,2.6,10.6,6.6,7.6,0.6,0.0,18.2,14.2,0.1,-0.1,0.0,-0.001,-1.2,-1.4,-2.6,0.0,,cartevi01,
1995-96,21.0,POR,NBA,PF,2.0,0.0,10.0,-0.1,0.25,0.0,0.0,0.0,12.5,5.9,0.0,5.6,0.0,0.0,18.5,0.0,0.0,0.0,-0.116,-11.4,1.8,-9.6,0.0,,trentga01,
1996-97,22.0,POR,NBA,PF,4.0,0.0,61.0,11.2,0.473,0.034,0.379,9.9,15.1,12.4,14.0,0.0,1.4,15.1,31.2,-0.1,0.0,-0.1,-0.057,-2.3,-1.8,-4.1,0.0,,trentga01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trentga01,
2001-02,27.0,MIN,NBA,PF,3.0,0.0,48.0,10.3,0.51,0.0,0.375,10.6,9.2,9.9,3.6,0.0,0.0,13.9,19.3,0.0,-0.1,0.0,-0.023,-2.2,-3.1,-5.3,0.0,,trentga01,
2002-03,28.0,MIN,NBA,SF,6.0,0.0,42.0,4.8,0.421,0.0,0.429,11.9,7.4,9.4,3.7,1.2,0.0,19.4,22.2,-0.1,0.0,-0.1,-0.105,-5.7,-4.2,-9.9,-0.1,,trentga01,
2003-04,29.0,MIN,NBA,C,13.0,0.0,71.0,4.6,0.368,0.08,0.32,10.2,9.2,9.7,4.8,0.0,0.0,9.5,21.0,-0.1,0.0,-0.1,-0.058,-5.6,-2.9,-8.5,-0.1,,trentga01,
1997-98,22.0,ATL,NBA,PF,1.0,0.0,4.0,13.2,1.136,,,31.4,32.4,31.9,0.0,0.0,19.3,69.4,36.2,0.0,0.0,0.0,-0.026,-13.9,7.1,-6.8,0.0,,crawfch01,
1998-99,23.0,ATL,NBA,PF,6.0,5.0,125.0,14.8,0.496,0.292,0.542,5.7,13.3,9.4,8.6,0.5,0.6,9.2,25.6,0.2,0.1,0.3,0.125,-0.1,-0.4,-0.5,0.0,,crawfch01,
1977-78,23.0,MIL,NBA,C,9.0,,103.0,7.1,0.503,,0.478,5.3,10.1,7.7,3.4,2.2,1.5,17.7,12.8,0.0,0.1,0.1,0.044,-4.5,0.3,-4.2,-0.1,,bensoke01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bensoke01,
1983-84,29.0,DET,NBA,C,5.0,,129.0,12.9,0.459,0.0,0.27,7.4,18.6,12.8,7.4,1.8,3.1,6.8,13.8,0.1,0.2,0.3,0.097,0.4,1.8,2.2,0.1,,bensoke01,
1984-85,30.0,DET,NBA,C,9.0,1.0,142.0,15.2,0.599,0.0,0.326,6.4,21.0,13.4,3.7,2.6,0.8,10.2,16.1,0.3,0.2,0.4,0.139,-0.9,2.1,1.2,0.1,,bensoke01,
1985-86,31.0,DET,NBA,C,4.0,0.0,55.0,3.7,0.4,0.0,0.0,5.6,21.4,12.9,0.0,0.0,2.1,9.1,7.9,0.0,0.0,0.0,0.011,-5.2,-0.8,-6.0,-0.1,,bensoke01,
1986-87,32.0,UTA,NBA,C,2.0,0.0,3.0,-16.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.1,0.0,0.0,0.0,-0.45,-17.2,-2.9,-20.1,0.0,,bensoke01,
1987-88,23.0,SAS,NBA,PF,3.0,3.0,95.0,8.0,0.475,0.0,0.25,6.2,20.9,12.4,4.1,1.0,2.4,20.0,20.2,-0.2,0.1,-0.1,-0.072,-4.7,-1.8,-6.4,-0.1,,andergr01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andergr01,
1989-90,25.0,MIL,NBA,PF,4.0,0.0,101.0,11.3,0.656,0.0,0.737,7.4,23.1,15.1,0.0,0.5,2.6,13.7,13.1,0.1,0.0,0.1,0.067,-2.8,-0.7,-3.5,0.0,,andergr01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andergr01,
1994-95,30.0,ATL,NBA,PF,3.0,0.0,39.0,10.5,0.37,0.0,0.8,2.8,36.6,18.8,8.7,2.8,4.1,0.0,8.1,0.0,0.1,0.1,0.106,-4.4,4.4,0.0,0.0,,andergr01,
1995-96,31.0,SAS,NBA,PF,6.0,0.0,34.0,-3.6,0.085,0.0,0.4,7.3,24.2,16.0,0.0,3.3,2.1,40.5,14.0,-0.2,0.0,-0.2,-0.239,-12.3,-1.0,-13.3,-0.1,,andergr01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andergr01,
1997-98,33.0,ATL,NBA,C,1.0,0.0,4.0,-11.0,0.0,,,0.0,64.9,31.9,0.0,0.0,19.3,53.2,23.6,-0.1,0.0,0.0,-0.531,-23.9,7.0,-16.9,0.0,,andergr01,
2005-06,22.0,SAC,NBA,PG,4.0,0.0,9.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,15.7,-0.1,0.0,-0.1,-0.369,-11.7,-6.5,-18.1,0.0,,pricero01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pricero01,
2007-08,24.0,UTA,NBA,PG,12.0,0.0,68.0,15.7,0.449,0.452,0.419,1.6,5.3,3.4,26.7,4.8,2.4,14.0,28.5,0.0,0.1,0.1,0.042,1.0,2.8,3.8,0.1,,pricero01,
2008-09,25.0,UTA,NBA,PG,2.0,0.0,16.0,20.7,0.368,0.3,0.2,20.7,0.0,10.8,57.7,3.2,0.0,0.0,30.0,0.0,0.0,0.0,0.117,3.3,1.5,4.7,0.0,,pricero01,
2009-10,26.0,UTA,NBA,PG,10.0,0.0,90.0,7.4,0.363,0.292,0.333,6.5,6.6,6.5,21.7,2.3,0.9,6.8,14.7,0.0,0.0,0.0,0.005,-4.3,0.7,-3.6,0.0,,pricero01,
2011-12,27.0,UTA,NBA,PG,3.0,0.0,8.0,33.9,0.833,0.333,0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,16.2,0.1,0.0,0.1,0.407,17.3,3.7,21.0,0.0,,ahearbl01,
1964-65,23.0,PHI,NBA,PF,11.0,,321.0,9.9,0.392,,0.246,,,,10.3,,,,,-0.4,0.3,-0.2,-0.025,,,,,,jackslu01,
1965-66,24.0,PHI,NBA,PF,5.0,,163.0,12.8,0.511,,0.449,,,,7.4,,,,,0.2,0.2,0.4,0.123,,,,,,jackslu01,
