Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
1976-77,21.0,DET,NBA,3.0,7.3,14.7,0.5,3.7,4.3,0.846,6.7,3.0,18.3,,moneyer01,PG,,34.3,,,,,0.7,2.3,3.0,2.0,0.0,,,,
,,,,,,,,,,,,,,,moneyer01,,,,,,,,,,,,,,,,
1978-79,23.0,PHI,NBA,8.0,3.3,7.6,0.426,0.3,0.5,0.5,2.8,2.1,6.8,,moneyer01,PG,,16.1,,,,,0.8,0.6,1.4,0.4,0.0,2.8,,,
2014-15,25.0,BOS,NBA,4.0,4.5,13.5,0.333,7.8,8.0,0.969,7.0,2.5,17.5,,thomais02,PG,0.0,29.8,0.8,4.5,3.8,9.0,0.3,2.8,3.0,0.8,0.0,3.5,0.167,0.417,0.361
2015-16,26.0,BOS,NBA,6.0,7.8,19.8,0.395,6.3,7.8,0.809,5.0,3.0,24.2,,thomais02,PG,6.0,36.7,2.2,7.7,5.7,12.2,0.3,2.7,3.0,0.7,0.8,2.3,0.283,0.466,0.45
2016-17,27.0,BOS,NBA,15.0,7.4,17.4,0.425,6.1,7.4,0.82,6.7,2.3,23.3,,thomais02,PG,15.0,34.7,2.4,7.2,5.0,10.2,0.3,2.8,3.1,0.9,0.1,3.3,0.333,0.49,0.494
,,,,,,,,,,,,,,,thomais02,,,,,,,,,,,,,,,,
2023-24,34.0,PHO,NBA,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,thomais02,PG,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-13,25.0,OKC,NBA,4.0,0.3,0.5,0.5,0.0,0.0,,0.0,1.8,0.5,,thabeha01,C,0.0,6.5,0.0,0.0,0.3,0.5,0.3,1.3,1.5,0.3,0.0,0.5,,0.5,0.5
2013-14,26.0,OKC,NBA,2.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,,thabeha01,C,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
