Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 22,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 21,Unnamed: 25,Unnamed: 28,Unnamed: 12,Unnamed: 20,Unnamed: 17,Unnamed: 23,Unnamed: 29,Unnamed: 30,Unnamed: 26,Unnamed: 18
1996-97,29,MIN,NBA,SG,3,3,87,.545,14.5,.909,.227,.136,.000,.545,.091,.600,.600,.667,.583,.000,,,,.000,0,,,0,0,,westdo01,1.000,,,,,.000,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,anthogr01,,,,,,,,,,,,,,,
1997-98,30,SEA,NBA,PG,9,0,118,.300,17.2,.525,.250,.125,.025,.125,.475,.333,.400,.000,.000,.600,.263,.429,.800,.000,0,.316,.333,0,0,,anthogr01,,,,,,,,,,,,,,,
1998-99,31,POR,NBA,PG,13,0,225,.327,17.9,.436,.309,.000,.055,.073,.564,.417,.471,,.333,.250,.258,.400,1.000,.000,0,.290,.222,0,0,,anthogr01,,,,,,,,,,,,,,,
1999-00,32,POR,NBA,PG,15,0,213,.365,18.9,.404,.154,.038,.077,.135,.596,.429,.625,.000,.250,.429,.323,.556,.900,.000,0,.194,.333,0,0,,anthogr01,,,,,,,,,,,,,,,
2000-01,33,POR,NBA,PG,2,0,17,.333,18.9,.500,.000,.167,.167,.167,.500,.333,,.000,1.000,.000,.333,.000,1.000,.000,0,.667,.500,0,0,,anthogr01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,martije02,,,,,,,,,,,,,,,
2019-20,23,BRK,NBA,PG,3,0,27,.286,15.3,.643,.143,.214,.143,.143,.357,.111,.000,.333,.000,.000,.600,.000,.333,.000,0,.600,.667,0,0,,martije02,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,#,,,,,,,,,,,,,,,,,,,,Att.,Md.,,willilo01,,,,,,,,Awards,,,,,,,
1996-97,27,WSB,NBA,C,2,0,5,0,,,,,,,,,,,,,,,,,,,,0,0,,willilo01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,hardeja01,,,,,,,,,,,,,,,
2009-10,20,OKC,NBA,SG,6,0,120,.387,13.8,.484,.387,.065,.000,.032,.516,.400,.333,.500,,1.000,.375,.500,1.000,.032,1,.500,.375,0,0,,hardeja01,,,,,,,,,,,,,,,
2010-11,21,OKC,NBA,SG,17,0,537,.475,16.0,.453,.295,.058,.022,.079,.547,.683,.707,.625,.333,.727,.303,.233,.913,.058,8,.197,.333,0,0,,hardeja01,,,,,,,,,,,,,,,
2011-12,22,OKC,NBA,SG,20,0,630,.435,12.8,.636,.350,.126,.075,.084,.364,.449,.560,.296,.188,.444,.410,.115,.781,.042,8,.077,.500,1,0,,hardeja01,,,,,,,,,,,,,,,
2012-13,23,HOU,NBA,SG,6,6,243,.391,13.7,.617,.304,.191,.035,.087,.383,.423,.657,.227,.250,.100,.341,.200,.333,.026,3,.000,,1,0,,hardeja01,,,,,,,,,,,,,,,
2013-14,24,HOU,NBA,SG,6,6,263,.376,16.4,.594,.150,.143,.150,.150,.406,.430,.550,.316,.300,.550,.296,.176,.563,.000,0,.019,.000,1,0,,hardeja01,,,,,,,,,,,,,,,
2014-15,25,HOU,NBA,SG,17,17,636,.439,15.5,.636,.201,.133,.122,.180,.364,.471,.678,.385,.417,.340,.383,.159,.366,.031,9,.037,.500,1,0,,hardeja01,,,,,,,,,,,,,,,
2015-16,26,HOU,NBA,SG,5,5,193,.410,16.2,.580,.170,.150,.120,.140,.420,.483,.588,.400,.500,.429,.310,.179,.385,.030,3,.119,.200,1,0,,hardeja01,,,,,,,,,,,,,,,
2016-17,27,HOU,NBA,PG,11,11,407,.413,15.2,.472,.358,.050,.046,.018,.528,.563,.603,.545,.300,.500,.278,.103,.156,.014,3,.043,.600,2,0,,hardeja01,,,,,,,,,,,,,,,
2017-18,28,HOU,NBA,SG,17,17,621,.410,14.5,.548,.229,.208,.073,.039,.452,.502,.670,.388,.500,.133,.299,.142,.231,.039,15,.057,.300,0,0,,hardeja01,,,,,,,,,,,,,,,
2018-19,29,HOU,NBA,PG,11,11,424,.413,16.7,.481,.163,.246,.057,.015,.519,.480,.674,.338,.533,.500,.350,.115,.125,.019,3,.036,.000,1,0,,hardeja01,,,,,,,,,,,,,,,
2019-20,30,HOU,NBA,SG,12,12,448,.478,15.9,.487,.211,.232,.039,.004,.513,.631,.792,.566,.222,.000,.333,.143,.333,.022,5,.068,.500,0,0,,hardeja01,,,,,,,,,,,,,,,
2020-21,31,BRK,NBA,PG,9,9,322,.472,18.8,.389,.130,.185,.065,.009,.611,.643,.857,.550,.571,.000,.364,.222,.083,.019,2,.015,1.000,1,0,,hardeja01,,,,,,,,,,,,,,,
2021-22,32,PHI,NBA,PG,12,12,479,.405,15.5,.519,.228,.203,.076,.013,.481,.439,.722,.250,.167,.000,.368,.167,.286,.013,2,.026,.500,0,0,,hardeja01,,,,,,,,,,,,,,,
2022-23,33,PHI,NBA,PG,11,11,427,.393,16.1,.552,.158,.213,.120,.060,.448,.406,.379,.308,.545,.545,.378,.049,.323,.011,2,.037,1.000,0,0,,hardeja01,,,,,,,,,,,,,,,
2023-24,34,LAC,NBA,PG,6,6,242,.449,17.4,.472,.067,.281,.124,.000,.528,.524,.500,.440,.727,,.383,.182,.222,.011,1,.064,.333,0,0,,hardeja01,,,,,,,,,,,,,,,
2024-25,35,LAC,NBA,PG,7,7,276,.436,15.1,.564,.139,.356,.069,.000,.436,.491,.643,.528,.000,,.364,.143,.250,.000,0,.023,.000,1,0,,hardeja01,,,,,,,,,,,,,,,
