Date,Team,Unnamed: 3,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,player_id
2025-04-11,TOR,@,DAL,"L, 102-124",*,36,9,12,0.75,6,7,0.857,0,0,,4,2,6,0,3,0,0,1,24,25.2,-7.0,agbajoc01
2025-04-06,TOR,@,BRK,"W, 120-109",*,30,6,14,0.429,2,7,0.286,1,1,1.0,1,2,3,2,2,0,4,3,15,7.1,8.0,agbajoc01
2025-04-03,TOR,,POR,"L, 103-112",,21,6,11,0.545,3,5,0.6,0,0,,1,2,3,1,2,0,0,1,15,13.3,-8.0,agbajoc01
2025-03-30,TOR,@,PHI,"W, 127-109",,25,4,9,0.444,1,3,0.333,0,0,,0,3,3,2,1,0,2,1,9,5.2,16.0,agbajoc01
2025-04-03,MIN,@,BRK,"W, 105-90",,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0.0,hylanbo01
2025-03-24,MIN,@,IND,"L, 103-119",,2,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,3.0,hylanbo01
2025-03-21,MIN,,NOP,"W, 134-93",,7,1,1,1.0,1,1,1.0,0,0,,0,0,0,2,0,0,1,2,3,2.3,5.0,hylanbo01
2025-03-16,MIN,,UTA,"W, 128-102",,7,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,1.3,-5.0,hylanbo01
2025-02-04,LAC,,LAL,"L, 97-122",,7,4,5,0.8,2,3,0.667,2,2,1.0,0,0,0,0,1,0,1,3,12,8.9,0.0,hylanbo01
2025-02-21,NYK,@,CLE,"L, 105-142",,4,1,3,0.333,1,2,0.5,0,0,,0,1,1,2,0,0,0,0,3,3.0,-3.0,ryanma01
2025-02-11,NYK,@,IND,"W, 128-115",,2,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6.0,ryanma01
2025-02-01,NYK,,LAL,"L, 112-128",,2,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0.0,ryanma01
2025-01-27,NYK,,MEM,"W, 143-106",,2,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,6.0,ryanma01
2025-01-25,NYK,,SAC,"W, 143-120",,2,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,-1.0,ryanma01
2025-04-13,WAS,@,MIA,"W, 119-118",*,39,11,16,0.688,5,9,0.556,0,2,0.0,2,2,4,2,1,2,1,1,27,23.8,-4.0,champju01
2025-04-11,WAS,@,CHI,"L, 89-119",*,38,9,15,0.6,3,7,0.429,1,2,0.5,3,11,14,1,3,1,3,2,22,20.7,-18.0,champju01
2025-04-09,WAS,,PHI,"L, 103-122",*,38,5,12,0.417,0,4,0.0,4,4,1.0,5,7,12,1,2,1,2,5,14,12.6,-12.0,champju01
2025-04-08,WAS,@,IND,"L, 98-104",*,35,8,13,0.615,4,6,0.667,0,0,,4,9,13,0,0,0,0,3,20,18.4,3.0,champju01
2025-04-06,WAS,@,BOS,"L, 90-124",*,37,6,11,0.545,3,5,0.6,0,0,,6,7,13,1,2,0,3,1,15,15.3,-13.0,champju01
2025-04-13,DAL,@,MEM,"L, 97-132",*,7,0,2,0.0,0,0,,0,2,0.0,1,3,4,0,0,1,1,1,0,-1.3,-2.0,willibr03
2025-04-11,DAL,,TOR,"W, 124-102",,22,7,8,0.875,2,2,1.0,1,1,1.0,0,1,1,3,1,1,3,3,17,14.1,2.0,willibr03
2025-03-29,DAL,@,CHI,"W, 120-119",,16,3,8,0.375,0,1,0.0,6,6,1.0,0,1,1,3,1,0,1,0,12,10.0,7.0,willibr03
2025-03-27,DAL,@,ORL,"W, 101-92",,27,6,10,0.6,1,1,1.0,1,1,1.0,1,2,3,6,2,0,4,3,14,11.7,21.0,willibr03
2025-03-25,DAL,@,NYK,"L, 113-128",,28,7,11,0.636,1,2,0.5,7,8,0.875,0,1,1,3,2,0,3,2,22,17.3,-13.0,willibr03
2025-05-16,BOS,@,NYK,"L, 81-119",,14,2,6,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,0,5,1.6,3.0,scheiba01
2025-05-14,BOS,,NYK,"W, 127-102",,3,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1.0,scheiba01
2025-05-10,BOS,@,NYK,"W, 115-93",,2,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-4.0,scheiba01
2025-04-29,BOS,,ORL,"W, 120-89",,4,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,1.9,-1.0,scheiba01
2025-04-13,BOS,,CHO,"W, 93-86",*,36,2,14,0.143,2,10,0.2,1,2,0.5,2,5,7,2,3,0,1,1,7,3.5,10.0,scheiba01
2025-05-28,OKC,,MIN,"W, 124-94",*,38,4,11,0.364,4,10,0.4,0,0,,1,3,4,1,3,0,2,2,12,8.4,24.0,dortlu01
2025-05-26,OKC,@,MIN,"W, 128-126",*,30,1,3,0.333,1,3,0.333,1,2,0.5,1,3,4,0,2,1,2,6,4,1.8,4.0,dortlu01
2025-05-24,OKC,@,MIN,"L, 101-143",*,22,2,4,0.5,2,4,0.5,0,0,,0,1,1,0,0,0,2,3,6,1.1,-22.0,dortlu01
2025-05-22,OKC,,MIN,"W, 118-103",*,35,3,9,0.333,2,7,0.286,1,2,0.5,2,6,8,4,2,0,0,2,9,10.7,29.0,dortlu01
2025-05-20,OKC,,MIN,"W, 114-88",*,28,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,2,1,1,5,5,3.0,7.0,dortlu01
2025-05-28,OKC,,MIN,"W, 124-94",,7,0,0,,0,0,,0,0,,1,3,4,0,1,0,0,0,0,2.6,12.0,willike04
2025-05-26,OKC,@,MIN,"W, 128-126",,12,2,3,0.667,1,2,0.5,0,0,,0,2,2,0,2,0,1,0,5,5.3,1.0,willike04
2025-05-24,OKC,@,MIN,"L, 101-143",,14,4,6,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,8,4.7,-3.0,willike04
2025-05-22,OKC,,MIN,"W, 118-103",,2,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2.0,willike04
2025-05-20,OKC,,MIN,"W, 114-88",,10,3,3,1.0,2,2,1.0,0,0,,0,3,3,0,0,0,1,3,8,5.8,19.0,willike04
2025-05-31,IND,,NYK,"W, 125-108",,9,1,2,0.5,0,0,,2,2,1.0,1,0,1,0,0,0,1,2,4,1.9,-12.0,mathube01
2025-05-29,IND,@,NYK,"L, 94-111",,25,6,10,0.6,2,4,0.5,9,9,1.0,1,8,9,0,0,0,3,3,23,17.3,8.0,mathube01
2025-05-27,IND,,NYK,"W, 130-121",,12,5,8,0.625,0,2,0.0,10,11,0.909,0,2,2,2,0,0,0,1,20,17.6,-2.0,mathube01
2025-05-25,IND,,NYK,"L, 100-106",,8,0,1,0.0,0,0,,2,2,1.0,0,2,2,2,0,0,1,1,2,1.9,-5.0,mathube01
2025-05-23,IND,@,NYK,"W, 114-109",,11,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.7,-12.0,mathube01
2025-05-13,CLE,,IND,"L, 105-114",*,26,0,9,0.0,0,6,0.0,0,0,,3,4,7,2,0,0,0,4,0,-3.2,-3.0,strusma01
2025-05-11,CLE,@,IND,"L, 109-129",*,22,4,9,0.444,3,7,0.429,0,0,,1,5,6,3,1,0,2,2,11,8.8,-22.0,strusma01
2025-05-09,CLE,@,IND,"W, 126-104",*,33,8,12,0.667,4,8,0.5,0,0,,2,5,7,7,0,1,0,5,20,21.3,32.0,strusma01
2025-05-06,CLE,,IND,"L, 119-120",*,39,8,18,0.444,5,12,0.417,2,2,1.0,5,3,8,4,0,0,2,3,23,17.6,-14.0,strusma01
2025-05-04,CLE,,IND,"L, 112-121",*,32,2,9,0.222,2,8,0.25,1,2,0.5,2,5,7,3,2,1,0,4,7,7.2,-6.0,strusma01
2025-03-19,NOP,@,MIN,"W, 119-115",*,30,12,16,0.75,0,0,,5,9,0.556,0,5,5,8,3,0,3,5,29,26.1,9.0,willizi01
2025-03-17,NOP,,DET,"L, 81-127",*,28,9,18,0.5,0,0,,12,15,0.8,2,4,6,3,0,2,3,3,30,21.7,-18.0,willizi01
2025-03-13,NOP,,ORL,"L, 93-113",*,28,8,15,0.533,0,0,,4,6,0.667,3,5,8,5,0,0,2,2,20,16.2,-14.0,willizi01
2025-03-11,NOP,,LAC,"W, 127-120",*,33,8,13,0.615,0,0,,6,6,1.0,1,9,10,12,0,1,5,2,22,22.8,6.0,willizi01
2025-03-08,NOP,@,HOU,"L, 117-146",*,28,10,19,0.526,0,0,,0,2,0.0,2,0,2,3,2,0,4,2,20,10.6,-37.0,willizi01
2025-04-13,CHO,@,BOS,"L, 86-93",*,28,4,12,0.333,3,8,0.375,0,1,0.0,1,3,4,0,1,0,1,1,11,5.0,-10.0,jeffrda01
2025-04-11,CHO,@,BOS,"L, 94-130",*,31,3,6,0.5,1,3,0.333,0,0,,0,1,1,1,0,2,0,0,7,6.4,-25.0,jeffrda01
2025-04-09,CHO,@,TOR,"L, 96-126",*,24,3,6,0.5,1,3,0.333,0,0,,1,5,6,1,0,0,2,1,7,4.5,-18.0,jeffrda01
2025-04-08,CHO,,MEM,"L, 100-124",*,34,2,8,0.25,0,6,0.0,0,0,,2,3,5,2,1,0,0,2,4,3.1,-30.0,jeffrda01
2025-04-06,CHO,,CHI,"L, 117-131",,19,0,0,,0,0,,4,4,1.0,2,0,2,2,0,0,0,2,4,6.0,-21.0,jeffrda01
2025-05-03,LAC,@,DEN,"L, 101-120",*,32,4,11,0.364,0,3,0.0,1,1,1.0,0,2,2,2,0,1,3,3,9,1.4,-31.0,powelno01
2025-05-01,LAC,,DEN,"W, 111-105",*,39,9,15,0.6,2,6,0.333,4,4,1.0,0,3,3,1,2,0,1,0,24,19.7,1.0,powelno01
2025-04-29,LAC,@,DEN,"L, 115-131",*,32,5,12,0.417,1,5,0.2,1,1,1.0,0,4,4,3,0,0,1,2,12,7.1,-12.0,powelno01
2025-04-26,LAC,,DEN,"L, 99-101",*,36,7,13,0.538,4,8,0.5,4,6,0.667,1,3,4,1,1,0,2,2,22,15.4,-8.0,powelno01
2025-04-24,LAC,,DEN,"W, 117-83",*,29,7,12,0.583,3,8,0.375,3,3,1.0,0,1,1,3,1,0,0,3,20,16.6,13.0,powelno01
2025-05-04,HOU,,GSW,"L, 89-103",*,44,6,13,0.462,3,6,0.5,2,2,1.0,2,5,7,3,2,0,3,4,17,12.7,-5.0,vanvlfr01
2025-05-02,HOU,@,GSW,"W, 115-107",*,40,7,13,0.538,6,9,0.667,9,9,1.0,1,7,8,8,0,0,2,3,29,27.9,12.0,vanvlfr01
2025-04-30,HOU,,GSW,"W, 131-116",*,33,8,13,0.615,4,6,0.667,6,6,1.0,0,1,1,2,0,1,1,1,26,21.1,21.0,vanvlfr01
2025-04-28,HOU,@,GSW,"L, 106-109",*,40,8,13,0.615,8,12,0.667,1,1,1.0,0,2,2,6,0,0,2,2,25,21.1,-7.0,vanvlfr01
2025-04-26,HOU,@,GSW,"L, 93-104",*,41,5,14,0.357,3,9,0.333,4,4,1.0,0,4,4,3,1,0,3,2,17,9.7,-16.0,vanvlfr01
2025-05-31,NYK,@,IND,"L, 108-125",*,30,4,5,0.8,0,0,,0,0,,5,4,9,0,2,2,2,1,8,11.8,-18.0,robinmi01
2025-05-29,NYK,,IND,"W, 111-94",*,20,3,3,1.0,0,0,,0,2,0.0,1,5,6,0,1,2,1,3,6,6.7,3.0,robinmi01
2025-05-27,NYK,@,IND,"L, 121-130",*,19,2,3,0.667,0,0,,2,2,1.0,5,2,7,1,1,0,0,4,6,8.9,-20.0,robinmi01
2025-05-25,NYK,@,IND,"W, 106-100",*,29,3,4,0.75,0,0,,0,0,,3,3,6,1,1,1,1,3,6,7.6,1.0,robinmi01
2025-05-23,NYK,,IND,"L, 109-114",,29,2,3,0.667,0,0,,2,4,0.5,4,5,9,0,0,3,0,2,6,9.5,6.0,robinmi01
2025-05-12,BOS,@,NYK,"L, 113-121",*,40,16,28,0.571,7,16,0.438,3,3,1.0,0,8,8,4,4,2,4,3,42,34.2,-9.0,tatumja01
