Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Game Score",25.5,View full stats from top 20 games,moneyer01
"Career high, Points",26.0,View full stats from top 20 games,sasseje01
"Career high, Rebounds",11.0,View full stats from top 20 games,sasseje01
"Career high, Assists",6.0,View full stats from top 20 games,sasseje01
"Career high, Steals",4.0,View full stats from top 20 games,sasseje01
"Career high, Blocks",1.0,View full stats from top 20 games,sasseje01
"Career high, Game Score",24.2,View full stats from top 20 games,sasseje01
"Career high, Points",12.0,View full stats from top 20 games,bufkiko01
"Career high, Rebounds",4.0,View full stats from top 20 games,bufkiko01
"Career high, Assists",5.0,View full stats from top 20 games,bufkiko01
"Career high, Steals",2.0,View full stats from top 20 games,bufkiko01
"Career high, Blocks",2.0,View full stats from top 20 games,bufkiko01
"Career high, Game Score",9.5,View full stats from top 20 games,bufkiko01
"Career high, Points",10.0,View full stats from top 20 games,terreja01
"Career high, Rebounds",1.0,View full stats from top 20 games,terreja01
"Career high, Assists",3.0,View full stats from top 20 games,terreja01
"Career high, Steals",2.0,View full stats from top 20 games,terreja01
"Career high, Blocks",1.0,View full stats from top 20 games,terreja01
"Career high, Game Score",6.1,View full stats from top 20 games,terreja01
"Career high, Points",25.0,View full stats from top 20 games,wilsobo02
"Career high, Rebounds",18.0,View full stats from top 20 games,wilsobo02
"Career high, Assists",1.0,View full stats from top 20 games,wilsobo02
"Career high, Points",40.0,View full stats from top 20 games,watsocj01
"Career high, Rebounds",9.0,View full stats from top 20 games,watsocj01
"Career high, Assists",12.0,View full stats from top 20 games,watsocj01
"Career high, Steals",7.0,View full stats from top 20 games,watsocj01
"Career high, Blocks",2.0,View full stats from top 20 games,watsocj01
"Career high, Game Score",36.8,View full stats from top 20 games,watsocj01
"Career high, Points",16.0,View full stats from top 20 games,bradlmi01
"Career high, Rebounds",15.0,View full stats from top 20 games,bradlmi01
"Career high, Assists",4.0,View full stats from top 20 games,bradlmi01
"Career high, Steals",2.0,View full stats from top 20 games,bradlmi01
"Career high, Blocks",3.0,View full stats from top 20 games,bradlmi01
"Career high, Game Score",16.0,View full stats from top 20 games,bradlmi01
"Career high, Points",2.0,View full stats from top 20 games,egglelo01
"Career high, Points",5.0,View full stats from top 20 games,youngko01
"Career high, Rebounds",2.0,View full stats from top 20 games,youngko01
"Career high, Assists",1.0,View full stats from top 20 games,youngko01
"Career high, Game Score",3.7,View full stats from top 20 games,youngko01
"Career high, Points",35.0,View full stats from top 20 games,coltest01
"Career high, Rebounds",10.0,View full stats from top 20 games,coltest01
"Career high, Assists",12.0,View full stats from top 20 games,coltest01
"Career high, Steals",7.0,View full stats from top 20 games,coltest01
"Career high, Blocks",3.0,View full stats from top 20 games,coltest01
"Career high, Game Score",28.7,View full stats from top 20 games,coltest01
"Career high, Points",45.0,View full stats from top 20 games,nancela01
"Career high, Rebounds",21.0,View full stats from top 20 games,nancela01
"Career high, Assists",14.0,View full stats from top 20 games,nancela01
"Career high, Steals",6.0,View full stats from top 20 games,nancela01
"Career high, Blocks",11.0,View full stats from top 20 games,nancela01
"Career high, Game Score",42.2,View full stats from top 20 games,nancela01
Triple-Doubles,3.0,View all,nancela01
"Career high, Points",26.0,View full stats from top 20 games,mcmilsh01
"Career high, Rebounds",16.0,View full stats from top 20 games,mcmilsh01
"Career high, Assists",5.0,View full stats from top 20 games,mcmilsh01
"Career high, Points",50.0,View full stats from top 20 games,greerha01
"Career high, Rebounds",17.0,View full stats from top 20 games,greerha01
"Career high, Assists",14.0,View full stats from top 20 games,greerha01
Triple-Doubles,1.0,View all,greerha01
"Career high, Points",2.0,View full stats from top 20 games,scholda01
"Career high, Points",14.0,View full stats from top 20 games,hawkimi01
"Career high, Rebounds",5.0,View full stats from top 20 games,hawkimi01
"Career high, Assists",10.0,View full stats from top 20 games,hawkimi01
"Career high, Steals",3.0,View full stats from top 20 games,hawkimi01
"Career high, Blocks",1.0,View full stats from top 20 games,hawkimi01
"Career high, Game Score",13.0,View full stats from top 20 games,hawkimi01
"Career high, Points",25.0,View full stats from top 20 games,byrnema01
"Career high, Rebounds",10.0,View full stats from top 20 games,byrnema01
"Career high, Assists",7.0,View full stats from top 20 games,byrnema01
"Career high, Steals",4.0,View full stats from top 20 games,byrnema01
"Career high, Blocks",2.0,View full stats from top 20 games,byrnema01
"Career high, Game Score",18.6,View full stats from top 20 games,byrnema01
"Career high, Points",20.0,View full stats from top 20 games,scalede01
"Career high, Rebounds",12.0,View full stats from top 20 games,scalede01
"Career high, Assists",1.0,View full stats from top 20 games,scalede01
"Career high, Steals",4.0,View full stats from top 20 games,scalede01
"Career high, Blocks",1.0,View full stats from top 20 games,scalede01
"Career high, Game Score",8.6,View full stats from top 20 games,scalede01
"Career high, Points",16.0,View full stats from top 20 games,kitegr01
"Career high, Rebounds",16.0,View full stats from top 20 games,kitegr01
"Career high, Assists",6.0,View full stats from top 20 games,kitegr01
"Career high, Steals",5.0,View full stats from top 20 games,kitegr01
"Career high, Blocks",5.0,View full stats from top 20 games,kitegr01
"Career high, Game Score",18.9,View full stats from top 20 games,kitegr01
"Career high, Points",30.0,View full stats from top 20 games,eisleho01
"Career high, Rebounds",10.0,View full stats from top 20 games,eisleho01
"Career high, Assists",14.0,View full stats from top 20 games,eisleho01
"Career high, Steals",6.0,View full stats from top 20 games,eisleho01
"Career high, Blocks",2.0,View full stats from top 20 games,eisleho01
