Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Points",31.0,View full stats from top 20 games,okafoja01
"Career high, Rebounds",17.0,View full stats from top 20 games,okafoja01
"Career high, Assists",6.0,View full stats from top 20 games,okafoja01
"Career high, Steals",3.0,View full stats from top 20 games,okafoja01
"Career high, Blocks",6.0,View full stats from top 20 games,okafoja01
"Career high, Game Score",26.8,View full stats from top 20 games,okafoja01
"Career high, Points",13.0,View full stats from top 20 games,martija02
"Career high, Rebounds",7.0,View full stats from top 20 games,martija02
"Career high, Assists",3.0,View full stats from top 20 games,martija02
"Career high, Steals",4.0,View full stats from top 20 games,martija02
"Career high, Game Score",11.5,View full stats from top 20 games,martija02
"Career high, Points",25.0,View full stats from top 20 games,sandela01
"Career high, Rebounds",20.0,View full stats from top 20 games,sandela01
"Career high, Assists",5.0,View full stats from top 20 games,sandela01
"Career high, Steals",4.0,View full stats from top 20 games,sandela01
"Career high, Blocks",10.0,View full stats from top 20 games,sandela01
"Career high, Game Score",23.5,View full stats from top 20 games,sandela01
Triple-Doubles,1.0,View all,sandela01
"Career high, Points",23.0,View full stats from top 20 games,rolliry01
"Career high, Rebounds",7.0,View full stats from top 20 games,rolliry01
"Career high, Assists",10.0,View full stats from top 20 games,rolliry01
"Career high, Steals",5.0,View full stats from top 20 games,rolliry01
"Career high, Blocks",3.0,View full stats from top 20 games,rolliry01
"Career high, Game Score",23.4,View full stats from top 20 games,rolliry01
"Career high, Points",2.0,View full stats from top 20 games,brownda01
"Career high, Points",36.0,View full stats from top 20 games,anderry01
"Career high, Rebounds",20.0,View full stats from top 20 games,anderry01
"Career high, Assists",5.0,View full stats from top 20 games,anderry01
"Career high, Steals",5.0,View full stats from top 20 games,anderry01
"Career high, Blocks",3.0,View full stats from top 20 games,anderry01
"Career high, Game Score",28.6,View full stats from top 20 games,anderry01
"Career high, Points",12.0,View full stats from top 20 games,richama01
"Career high, Rebounds",7.0,View full stats from top 20 games,richama01
"Career high, Assists",2.0,View full stats from top 20 games,richama01
"Career high, Steals",1.0,View full stats from top 20 games,richama01
"Career high, Blocks",1.0,View full stats from top 20 games,richama01
"Career high, Game Score",10.6,View full stats from top 20 games,richama01
"Career high, Points",13.0,View full stats from top 20 games,pearcge01
"Career high, Points",15.0,View full stats from top 20 games,ortizjo01
"Career high, Rebounds",6.0,View full stats from top 20 games,ortizjo01
"Career high, Assists",4.0,View full stats from top 20 games,ortizjo01
"Career high, Steals",1.0,View full stats from top 20 games,ortizjo01
"Career high, Blocks",2.0,View full stats from top 20 games,ortizjo01
"Career high, Game Score",10.6,View full stats from top 20 games,ortizjo01
"Career high, Points",35.0,View full stats from top 20 games,aytonde01
"Career high, Rebounds",23.0,View full stats from top 20 games,aytonde01
"Career high, Assists",8.0,View full stats from top 20 games,aytonde01
"Career high, Steals",5.0,View full stats from top 20 games,aytonde01
"Career high, Blocks",5.0,View full stats from top 20 games,aytonde01
"Career high, Game Score",36.7,View full stats from top 20 games,aytonde01
"Career high, Points",15.0,View full stats from top 20 games,hendeda01
"Career high, Rebounds",5.0,View full stats from top 20 games,hendeda01
"Career high, Assists",5.0,View full stats from top 20 games,hendeda01
"Career high, Steals",2.0,View full stats from top 20 games,hendeda01
"Career high, Blocks",4.0,View full stats from top 20 games,hendeda01
"Career high, Game Score",11.1,View full stats from top 20 games,hendeda01
"Career high, Points",12.0,View full stats from top 20 games,mcdonro01
"Career high, Rebounds",9.0,View full stats from top 20 games,mcdonro01
"Career high, Assists",4.0,View full stats from top 20 games,mcdonro01
"Career high, Blocks",2.0,View full stats from top 20 games,mcdonro01
"Career high, Game Score",2.4,View full stats from top 20 games,mcdonro01
"Career high, Points",25.0,View full stats from top 20 games,garrede01
"Career high, Rebounds",21.0,View full stats from top 20 games,garrede01
"Career high, Assists",4.0,View full stats from top 20 games,garrede01
"Career high, Steals",4.0,View full stats from top 20 games,garrede01
"Career high, Blocks",7.0,View full stats from top 20 games,garrede01
"Career high, Game Score",24.4,View full stats from top 20 games,garrede01
"Career high, Points",28.0,View full stats from top 20 games,brancad01
"Career high, Rebounds",7.0,View full stats from top 20 games,brancad01
"Career high, Assists",4.0,View full stats from top 20 games,brancad01
"Career high, Steals",5.0,View full stats from top 20 games,brancad01
"Career high, Blocks",3.0,View full stats from top 20 games,brancad01
"Career high, Game Score",20.8,View full stats from top 20 games,brancad01
"Career high, Points",18.0,View full stats from top 20 games,hankice01
"Career high, Points",37.0,View full stats from top 20 games,wilkije01
"Career high, Rebounds",20.0,View full stats from top 20 games,wilkije01
"Career high, Assists",8.0,View full stats from top 20 games,wilkije01
"Career high, Steals",4.0,View full stats from top 20 games,wilkije01
"Career high, Blocks",5.0,View full stats from top 20 games,wilkije01
"Career high, Game Score",29.3,View full stats from top 20 games,wilkije01
"Career high, Points",33.0,View full stats from top 20 games,neumapa01
"Career high, Rebounds",11.0,View full stats from top 20 games,neumapa01
"Career high, Assists",11.0,View full stats from top 20 games,neumapa01
"Career high, Points",22.0,View full stats from top 20 games,huntech01
"Career high, Rebounds",13.0,View full stats from top 20 games,huntech01
"Career high, Assists",3.0,View full stats from top 20 games,huntech01
"Career high, Steals",3.0,View full stats from top 20 games,huntech01
"Career high, Blocks",3.0,View full stats from top 20 games,huntech01
"Career high, Game Score",19.9,View full stats from top 20 games,huntech01
"Career high, Points",16.0,View full stats from top 20 games,tuckeal02
"Career high, Rebounds",5.0,View full stats from top 20 games,tuckeal02
"Career high, Assists",2.0,View full stats from top 20 games,tuckeal02
"Career high, Steals",1.0,View full stats from top 20 games,tuckeal02
"Career high, Blocks",1.0,View full stats from top 20 games,tuckeal02
"Career high, Game Score",11.4,View full stats from top 20 games,tuckeal02
"Career high, Points",35.0,View full stats from top 20 games,gillihe01
"Career high, Rebounds",13.0,View full stats from top 20 games,gillihe01
"Career high, Assists",16.0,View full stats from top 20 games,gillihe01
"Career high, Steals",7.0,View full stats from top 20 games,gillihe01
"Career high, Blocks",2.0,View full stats from top 20 games,gillihe01
Triple-Doubles,1.0,View all,gillihe01
"Career high, Points",4.0,View full stats from top 20 games,crosbte01
"Career high, Rebounds",1.0,View full stats from top 20 games,crosbte01
"Career high, Assists",4.0,View full stats from top 20 games,crosbte01
"Career high, Game Score",1.7,View full stats from top 20 games,crosbte01
"Career high, Points",32.0,View full stats from top 20 games,dickgr01
"Career high, Rebounds",10.0,View full stats from top 20 games,dickgr01
"Career high, Assists",7.0,View full stats from top 20 games,dickgr01
"Career high, Steals",3.0,View full stats from top 20 games,dickgr01
"Career high, Blocks",2.0,View full stats from top 20 games,dickgr01
"Career high, Game Score",22.2,View full stats from top 20 games,dickgr01
"Career high, Points",5.0,View full stats from top 20 games,marshve01
"Career high, Rebounds",9.0,View full stats from top 20 games,marshve01
"Career high, Assists",2.0,View full stats from top 20 games,marshve01
"Career high, Steals",1.0,View full stats from top 20 games,marshve01
"Career high, Blocks",2.0,View full stats from top 20 games,marshve01
"Career high, Points",40.0,View full stats from top 20 games,kittlke01
"Career high, Rebounds",13.0,View full stats from top 20 games,kittlke01
"Career high, Assists",9.0,View full stats from top 20 games,kittlke01
"Career high, Steals",6.0,View full stats from top 20 games,kittlke01
"Career high, Blocks",4.0,View full stats from top 20 games,kittlke01
"Career high, Game Score",35.9,View full stats from top 20 games,kittlke01
"Career high, Points",34.0,View full stats from top 20 games,smithja05
"Career high, Rebounds",18.0,View full stats from top 20 games,smithja05
"Career high, Assists",6.0,View full stats from top 20 games,smithja05
"Career high, Steals",4.0,View full stats from top 20 games,smithja05
"Career high, Blocks",4.0,View full stats from top 20 games,smithja05
"Career high, Game Score",35.6,View full stats from top 20 games,smithja05
"Career high, Points",27.0,View full stats from top 20 games,plumlma01
"Career high, Rebounds",21.0,View full stats from top 20 games,plumlma01
"Career high, Assists",12.0,View full stats from top 20 games,plumlma01
"Career high, Steals",4.0,View full stats from top 20 games,plumlma01
"Career high, Blocks",6.0,View full stats from top 20 games,plumlma01
"Career high, Game Score",28.7,View full stats from top 20 games,plumlma01
Triple-Doubles,2.0,View all,plumlma01
"Career high, Points",24.0,View full stats from top 20 games,welscji01
"Career high, Rebounds",12.0,View full stats from top 20 games,welscji01
"Career high, Assists",7.0,View full stats from top 20 games,welscji01
"Career high, Steals",4.0,View full stats from top 20 games,welscji01
"Career high, Blocks",2.0,View full stats from top 20 games,welscji01
"Career high, Game Score",22.5,View full stats from top 20 games,welscji01
"Career high, Points",37.0,View full stats from top 20 games,smithla02
"Career high, Rebounds",6.0,View full stats from top 20 games,smithla02
"Career high, Assists",9.0,View full stats from top 20 games,smithla02
"Career high, Steals",6.0,View full stats from top 20 games,smithla02
"Career high, Blocks",1.0,View full stats from top 20 games,smithla02
"Career high, Game Score",31.4,View full stats from top 20 games,smithla02
"Career high, Points",30.0,View full stats from top 20 games,mccontj01
"Career high, Rebounds",10.0,View full stats from top 20 games,mccontj01
"Career high, Assists",17.0,View full stats from top 20 games,mccontj01
"Career high, Steals",10.0,View full stats from top 20 games,mccontj01
"Career high, Blocks",2.0,View full stats from top 20 games,mccontj01
"Career high, Game Score",32.6,View full stats from top 20 games,mccontj01
Triple-Doubles,3.0,View all,mccontj01
"Career high, Points",35.0,View full stats from top 20 games,gomesry01
"Career high, Rebounds",17.0,View full stats from top 20 games,gomesry01
"Career high, Assists",10.0,View full stats from top 20 games,gomesry01
"Career high, Steals",4.0,View full stats from top 20 games,gomesry01
"Career high, Blocks",2.0,View full stats from top 20 games,gomesry01
"Career high, Game Score",29.7,View full stats from top 20 games,gomesry01
Triple-Doubles,1.0,View all,gomesry01
"Career high, Points",25.0,View full stats from top 20 games,mihmch01
"Career high, Rebounds",21.0,View full stats from top 20 games,mihmch01
"Career high, Assists",5.0,View full stats from top 20 games,mihmch01
"Career high, Steals",3.0,View full stats from top 20 games,mihmch01
"Career high, Blocks",6.0,View full stats from top 20 games,mihmch01
"Career high, Game Score",23.2,View full stats from top 20 games,mihmch01
"Career high, Points",28.0,View full stats from top 20 games,harrian01
"Career high, Rebounds",7.0,View full stats from top 20 games,harrian01
"Career high, Assists",9.0,View full stats from top 20 games,harrian01
"Career high, Steals",6.0,View full stats from top 20 games,harrian01
"Career high, Blocks",3.0,View full stats from top 20 games,harrian01
"Career high, Game Score",20.2,View full stats from top 20 games,harrian01
"Career high, Points",34.0,View full stats from top 20 games,pargoja01
"Career high, Rebounds",12.0,View full stats from top 20 games,pargoja01
"Career high, Assists",9.0,View full stats from top 20 games,pargoja01
"Career high, Steals",5.0,View full stats from top 20 games,pargoja01
"Career high, Blocks",2.0,View full stats from top 20 games,pargoja01
"Career high, Game Score",28.0,View full stats from top 20 games,pargoja01
"Career high, Points",25.0,View full stats from top 20 games,carpebo01
"Career high, Rebounds",7.0,View full stats from top 20 games,carpebo01
"Career high, Assists",5.0,View full stats from top 20 games,carpebo01
"Career high, Points",3.0,View full stats from top 20 games,robbili01
"Career high, Rebounds",3.0,View full stats from top 20 games,robbili01
"Career high, Assists",1.0,View full stats from top 20 games,robbili01
"Career high, Steals",1.0,View full stats from top 20 games,robbili01
"Career high, Blocks",1.0,View full stats from top 20 games,robbili01
"Career high, Game Score",2.3,View full stats from top 20 games,robbili01
"Career high, Points",45.0,View full stats from top 20 games,willich01
"Career high, Rebounds",15.0,View full stats from top 20 games,willich01
"Career high, Assists",12.0,View full stats from top 20 games,willich01
"Career high, Game Score",1.0,View full stats from top 20 games,willich01
"Career high, Points",42.0,View full stats from top 20 games,toppiob01
"Career high, Rebounds",12.0,View full stats from top 20 games,toppiob01
"Career high, Assists",6.0,View full stats from top 20 games,toppiob01
"Career high, Steals",4.0,View full stats from top 20 games,toppiob01
"Career high, Blocks",4.0,View full stats from top 20 games,toppiob01
"Career high, Game Score",32.6,View full stats from top 20 games,toppiob01
"Career high, Points",33.0,View full stats from top 20 games,williho01
"Career high, Rebounds",18.0,View full stats from top 20 games,williho01
"Career high, Assists",8.0,View full stats from top 20 games,williho01
"Career high, Steals",6.0,View full stats from top 20 games,williho01
"Career high, Blocks",9.0,View full stats from top 20 games,williho01
"Career high, Game Score",31.3,View full stats from top 20 games,williho01
"Career high, Points",39.0,View full stats from top 20 games,scottra01
"Career high, Rebounds",28.0,View full stats from top 20 games,scottra01
"Career high, Assists",11.0,View full stats from top 20 games,scottra01
Triple-Doubles,1.0,View all,scottra01
"Career high, Points",33.0,View full stats from top 20 games,stevede01
"Career high, Rebounds",11.0,View full stats from top 20 games,stevede01
"Career high, Assists",9.0,View full stats from top 20 games,stevede01
"Career high, Steals",4.0,View full stats from top 20 games,stevede01
"Career high, Blocks",3.0,View full stats from top 20 games,stevede01
"Career high, Game Score",25.6,View full stats from top 20 games,stevede01
"Career high, Points",18.0,View full stats from top 20 games,mccanbo01
"Career high, Rebounds",10.0,View full stats from top 20 games,mccanbo01
"Career high, Assists",4.0,View full stats from top 20 games,mccanbo01
"Career high, Steals",3.0,View full stats from top 20 games,mccanbo01
"Career high, Blocks",4.0,View full stats from top 20 games,mccanbo01
"Career high, Game Score",16.2,View full stats from top 20 games,mccanbo01
"Career high, Points",28.0,View full stats from top 20 games,peterji01
"Career high, Rebounds",16.0,View full stats from top 20 games,peterji01
"Career high, Assists",6.0,View full stats from top 20 games,peterji01
"Career high, Steals",4.0,View full stats from top 20 games,peterji01
"Career high, Blocks",6.0,View full stats from top 20 games,peterji01
"Career high, Game Score",24.9,View full stats from top 20 games,peterji01
"Career high, Points",20.0,View full stats from top 20 games,scheiba01
"Career high, Rebounds",7.0,View full stats from top 20 games,scheiba01
"Career high, Assists",4.0,View full stats from top 20 games,scheiba01
"Career high, Steals",3.0,View full stats from top 20 games,scheiba01
"Career high, Blocks",1.0,View full stats from top 20 games,scheiba01
"Career high, Game Score",21.2,View full stats from top 20 games,scheiba01
"Career high, Points",4.0,View full stats from top 20 games,reidry01
"Career high, Rebounds",1.0,View full stats from top 20 games,reidry01
"Career high, Game Score",3.1,View full stats from top 20 games,reidry01
"Career high, Points",15.0,View full stats from top 20 games,vonniwh01
"Career high, Assists",6.0,View full stats from top 20 games,vonniwh01
"Career high, Points",26.0,View full stats from top 20 games,kellyry01
"Career high, Rebounds",11.0,View full stats from top 20 games,kellyry01
"Career high, Assists",8.0,View full stats from top 20 games,kellyry01
"Career high, Steals",3.0,View full stats from top 20 games,kellyry01
"Career high, Blocks",4.0,View full stats from top 20 games,kellyry01
"Career high, Game Score",21.3,View full stats from top 20 games,kellyry01
"Career high, Points",21.0,View full stats from top 20 games,colsobo01
"Career high, Rebounds",16.0,View full stats from top 20 games,colsobo01
"Career high, Assists",2.0,View full stats from top 20 games,colsobo01
"Career high, Steals",3.0,View full stats from top 20 games,colsobo01
"Career high, Blocks",1.0,View full stats from top 20 games,colsobo01
"Career high, Game Score",17.0,View full stats from top 20 games,colsobo01
"Career high, Points",15.0,View full stats from top 20 games,osullda01
"Career high, Rebounds",10.0,View full stats from top 20 games,osullda01
"Career high, Assists",1.0,View full stats from top 20 games,osullda01
"Career high, Steals",2.0,View full stats from top 20 games,osullda01
"Career high, Blocks",2.0,View full stats from top 20 games,osullda01
"Career high, Game Score",10.2,View full stats from top 20 games,osullda01
"Career high, Points",11.0,View full stats from top 20 games,freemro01
"Career high, Rebounds",6.0,View full stats from top 20 games,freemro01
"Career high, Assists",2.0,View full stats from top 20 games,freemro01
"Career high, Steals",1.0,View full stats from top 20 games,freemro01
"Career high, Points",32.0,View full stats from top 20 games,dunnkr01
"Career high, Rebounds",10.0,View full stats from top 20 games,dunnkr01
"Career high, Assists",17.0,View full stats from top 20 games,dunnkr01
"Career high, Steals",6.0,View full stats from top 20 games,dunnkr01
"Career high, Blocks",3.0,View full stats from top 20 games,dunnkr01
"Career high, Game Score",30.6,View full stats from top 20 games,dunnkr01
"Career high, Points",15.0,View full stats from top 20 games,crossru01
"Career high, Rebounds",9.0,View full stats from top 20 games,crossru01
"Career high, Assists",5.0,View full stats from top 20 games,crossru01
"Career high, Steals",3.0,View full stats from top 20 games,crossru01
"Career high, Blocks",1.0,View full stats from top 20 games,crossru01
"Career high, Game Score",15.1,View full stats from top 20 games,crossru01
"Career high, Points",10.0,View full stats from top 20 games,crowdco01
"Career high, Rebounds",3.0,View full stats from top 20 games,crowdco01
"Career high, Assists",3.0,View full stats from top 20 games,crowdco01
"Career high, Steals",2.0,View full stats from top 20 games,crowdco01
"Career high, Blocks",1.0,View full stats from top 20 games,crowdco01
"Career high, Game Score",8.1,View full stats from top 20 games,crowdco01
"Career high, Points",15.0,View full stats from top 20 games,blankla01
"Career high, Rebounds",5.0,View full stats from top 20 games,blankla01
"Career high, Assists",5.0,View full stats from top 20 games,blankla01
"Career high, Steals",4.0,View full stats from top 20 games,blankla01
"Career high, Blocks",1.0,View full stats from top 20 games,blankla01
"Career high, Game Score",13.5,View full stats from top 20 games,blankla01
"Career high, Points",45.0,View full stats from top 20 games,dierkco01
"Career high, Rebounds",28.0,View full stats from top 20 games,dierkco01
"Career high, Assists",13.0,View full stats from top 20 games,dierkco01
"Career high, Points",33.0,View full stats from top 20 games,austiis01
"Career high, Rebounds",22.0,View full stats from top 20 games,austiis01
"Career high, Assists",6.0,View full stats from top 20 games,austiis01
"Career high, Steals",5.0,View full stats from top 20 games,austiis01
"Career high, Blocks",4.0,View full stats from top 20 games,austiis01
"Career high, Game Score",25.2,View full stats from top 20 games,austiis01
"Career high, Points",8.0,View full stats from top 20 games,bradljo01
"Career high, Assists",2.0,View full stats from top 20 games,bradljo01
"Career high, Points",13.0,View full stats from top 20 games,toolsan01
"Career high, Rebounds",5.0,View full stats from top 20 games,toolsan01
"Career high, Assists",4.0,View full stats from top 20 games,toolsan01
"Career high, Steals",2.0,View full stats from top 20 games,toolsan01
"Career high, Blocks",1.0,View full stats from top 20 games,toolsan01
"Career high, Game Score",10.7,View full stats from top 20 games,toolsan01
"Career high, Points",18.0,View full stats from top 20 games,parksri01
"Career high, Rebounds",10.0,View full stats from top 20 games,parksri01
"Career high, Assists",1.0,View full stats from top 20 games,parksri01
"Career high, Points",19.0,View full stats from top 20 games,hunterj01
"Career high, Rebounds",7.0,View full stats from top 20 games,hunterj01
"Career high, Assists",3.0,View full stats from top 20 games,hunterj01
"Career high, Steals",2.0,View full stats from top 20 games,hunterj01
"Career high, Blocks",3.0,View full stats from top 20 games,hunterj01
"Career high, Game Score",13.1,View full stats from top 20 games,hunterj01
"Career high, Points",11.0,View full stats from top 20 games,hewsoja01
"Career high, Points",21.0,View full stats from top 20 games,hayesch01
"Career high, Rebounds",18.0,View full stats from top 20 games,hayesch01
"Career high, Assists",11.0,View full stats from top 20 games,hayesch01
"Career high, Steals",5.0,View full stats from top 20 games,hayesch01
"Career high, Blocks",3.0,View full stats from top 20 games,hayesch01
"Career high, Game Score",22.6,View full stats from top 20 games,hayesch01
Triple-Doubles,1.0,View all,hayesch01
"Career high, Points",23.0,View full stats from top 20 games,butchdo01
"Career high, Rebounds",15.0,View full stats from top 20 games,butchdo01
"Career high, Assists",15.0,View full stats from top 20 games,butchdo01
Triple-Doubles,1.0,View all,butchdo01
"Career high, Points",26.0,View full stats from top 20 games,butleja02
"Career high, Rebounds",6.0,View full stats from top 20 games,butleja02
"Career high, Assists",13.0,View full stats from top 20 games,butleja02
"Career high, Steals",4.0,View full stats from top 20 games,butleja02
"Career high, Blocks",2.0,View full stats from top 20 games,butleja02
"Career high, Game Score",23.6,View full stats from top 20 games,butleja02
"Career high, Points",28.0,View full stats from top 20 games,buckngr01
"Career high, Rebounds",11.0,View full stats from top 20 games,buckngr01
"Career high, Assists",8.0,View full stats from top 20 games,buckngr01
"Career high, Steals",7.0,View full stats from top 20 games,buckngr01
"Career high, Blocks",3.0,View full stats from top 20 games,buckngr01
"Career high, Game Score",28.8,View full stats from top 20 games,buckngr01
"Career high, Points",23.0,View full stats from top 20 games,newblir01
"Career high, Rebounds",12.0,View full stats from top 20 games,newblir01
"Career high, Assists",6.0,View full stats from top 20 games,newblir01
"Career high, Steals",4.0,View full stats from top 20 games,newblir01
"Career high, Blocks",3.0,View full stats from top 20 games,newblir01
"Career high, Game Score",23.8,View full stats from top 20 games,newblir01
"Career high, Rebounds",2.0,View full stats from top 20 games,kiddst01
"Career high, Assists",1.0,View full stats from top 20 games,kiddst01
"Career high, Game Score",0.0,View full stats from top 20 games,kiddst01
"Career high, Points",27.0,View full stats from top 20 games,grossbo01
"Career high, Rebounds",17.0,View full stats from top 20 games,grossbo01
"Career high, Assists",13.0,View full stats from top 20 games,grossbo01
"Career high, Steals",6.0,View full stats from top 20 games,grossbo01
"Career high, Blocks",5.0,View full stats from top 20 games,grossbo01
"Career high, Game Score",26.8,View full stats from top 20 games,grossbo01
"Career high, Points",8.0,View full stats from top 20 games,templco01
"Career high, Rebounds",3.0,View full stats from top 20 games,templco01
"Career high, Assists",3.0,View full stats from top 20 games,templco01
"Career high, Steals",2.0,View full stats from top 20 games,templco01
"Career high, Blocks",1.0,View full stats from top 20 games,templco01
"Career high, Points",35.0,View full stats from top 20 games,baglejo01
"Career high, Rebounds",11.0,View full stats from top 20 games,baglejo01
"Career high, Assists",19.0,View full stats from top 20 games,baglejo01
"Career high, Steals",6.0,View full stats from top 20 games,baglejo01
"Career high, Blocks",2.0,View full stats from top 20 games,baglejo01
"Career high, Game Score",34.8,View full stats from top 20 games,baglejo01
Triple-Doubles,3.0,View all,baglejo01
"Career high, Points",21.0,View full stats from top 20 games,kuestjo01
"Career high, Rebounds",6.0,View full stats from top 20 games,kuestjo01
"Career high, Assists",12.0,View full stats from top 20 games,kuestjo01
"Career high, Steals",3.0,View full stats from top 20 games,kuestjo01
"Career high, Blocks",1.0,View full stats from top 20 games,kuestjo01
"Career high, Game Score",11.3,View full stats from top 20 games,kuestjo01
"Career high, Points",34.0,View full stats from top 20 games,hawkijo01
"Career high, Rebounds",7.0,View full stats from top 20 games,hawkijo01
"Career high, Assists",4.0,View full stats from top 20 games,hawkijo01
"Career high, Steals",3.0,View full stats from top 20 games,hawkijo01
"Career high, Blocks",3.0,View full stats from top 20 games,hawkijo01
"Career high, Game Score",27.6,View full stats from top 20 games,hawkijo01
"Career high, Points",5.0,View full stats from top 20 games,maddoti01
"Career high, Rebounds",2.0,View full stats from top 20 games,maddoti01
"Career high, Assists",3.0,View full stats from top 20 games,maddoti01
"Career high, Steals",1.0,View full stats from top 20 games,maddoti01
"Career high, Blocks",1.0,View full stats from top 20 games,maddoti01
"Career high, Game Score",4.3,View full stats from top 20 games,maddoti01
"Career high, Points",9.0,View full stats from top 20 games,aubucch01
"Career high, Points",40.0,View full stats from top 20 games,tisdawa01
"Career high, Rebounds",18.0,View full stats from top 20 games,tisdawa01
"Career high, Assists",7.0,View full stats from top 20 games,tisdawa01
"Career high, Steals",4.0,View full stats from top 20 games,tisdawa01
"Career high, Blocks",4.0,View full stats from top 20 games,tisdawa01
"Career high, Game Score",37.6,View full stats from top 20 games,tisdawa01
"Career high, Points",20.0,View full stats from top 20 games,jonesjo01
"Career high, Rebounds",12.0,View full stats from top 20 games,jonesjo01
"Career high, Assists",4.0,View full stats from top 20 games,jonesjo01
"Career high, Points",17.0,View full stats from top 20 games,greense01
"Career high, Rebounds",5.0,View full stats from top 20 games,greense01
"Career high, Assists",5.0,View full stats from top 20 games,greense01
"Career high, Steals",3.0,View full stats from top 20 games,greense01
"Career high, Blocks",2.0,View full stats from top 20 games,greense01
"Career high, Game Score",11.3,View full stats from top 20 games,greense01
"Career high, Points",49.0,View full stats from top 20 games,birdsot01
"Career high, Rebounds",11.0,View full stats from top 20 games,birdsot01
"Career high, Assists",11.0,View full stats from top 20 games,birdsot01
"Career high, Steals",6.0,View full stats from top 20 games,birdsot01
"Career high, Blocks",3.0,View full stats from top 20 games,birdsot01
"Career high, Game Score",41.3,View full stats from top 20 games,birdsot01
"Career high, Points",16.0,View full stats from top 20 games,tylerbj01
"Career high, Rebounds",5.0,View full stats from top 20 games,tylerbj01
"Career high, Assists",10.0,View full stats from top 20 games,tylerbj01
"Career high, Steals",4.0,View full stats from top 20 games,tylerbj01
"Career high, Blocks",1.0,View full stats from top 20 games,tylerbj01
"Career high, Game Score",15.1,View full stats from top 20 games,tylerbj01
"Career high, Points",31.0,View full stats from top 20 games,boerwto01
"Career high, Rebounds",37.0,View full stats from top 20 games,boerwto01
"Career high, Assists",11.0,View full stats from top 20 games,boerwto01
"Career high, Steals",3.0,View full stats from top 20 games,boerwto01
"Career high, Blocks",4.0,View full stats from top 20 games,boerwto01
"Career high, Game Score",8.7,View full stats from top 20 games,boerwto01
Triple-Doubles,5.0,View all,boerwto01
"Career high, Points",34.0,View full stats from top 20 games,benjabe01
"Career high, Rebounds",23.0,View full stats from top 20 games,benjabe01
"Career high, Assists",9.0,View full stats from top 20 games,benjabe01
"Career high, Steals",4.0,View full stats from top 20 games,benjabe01
"Career high, Blocks",10.0,View full stats from top 20 games,benjabe01
"Career high, Game Score",33.4,View full stats from top 20 games,benjabe01
Triple-Doubles,1.0,View all,benjabe01
"Career high, Points",29.0,View full stats from top 20 games,dorsety01
"Career high, Rebounds",9.0,View full stats from top 20 games,dorsety01
"Career high, Assists",9.0,View full stats from top 20 games,dorsety01
"Career high, Steals",2.0,View full stats from top 20 games,dorsety01
"Career high, Blocks",1.0,View full stats from top 20 games,dorsety01
"Career high, Game Score",23.1,View full stats from top 20 games,dorsety01
"Career high, Points",14.0,View full stats from top 20 games,halldo01
"Career high, Rebounds",11.0,View full stats from top 20 games,halldo01
"Career high, Assists",3.0,View full stats from top 20 games,halldo01
"Career high, Steals",1.0,View full stats from top 20 games,halldo01
"Career high, Blocks",2.0,View full stats from top 20 games,halldo01
"Career high, Game Score",14.0,View full stats from top 20 games,halldo01
"Career high, Points",24.0,View full stats from top 20 games,harrist01
"Career high, Rebounds",8.0,View full stats from top 20 games,harrist01
"Career high, Assists",6.0,View full stats from top 20 games,harrist01
"Career high, Steals",3.0,View full stats from top 20 games,harrist01
"Career high, Blocks",2.0,View full stats from top 20 games,harrist01
"Career high, Game Score",23.7,View full stats from top 20 games,harrist01
"Career high, Points",17.0,View full stats from top 20 games,brownha01
"Career high, Points",2.0,View full stats from top 20 games,matenya01
"Career high, Rebounds",2.0,View full stats from top 20 games,matenya01
"Career high, Steals",1.0,View full stats from top 20 games,matenya01
"Career high, Game Score",2.6,View full stats from top 20 games,matenya01
"Career high, Points",19.0,View full stats from top 20 games,redmoma01
"Career high, Rebounds",6.0,View full stats from top 20 games,redmoma01
"Career high, Assists",6.0,View full stats from top 20 games,redmoma01
"Career high, Steals",2.0,View full stats from top 20 games,redmoma01
"Career high, Blocks",2.0,View full stats from top 20 games,redmoma01
"Career high, Game Score",15.1,View full stats from top 20 games,redmoma01
"Career high, Points",14.0,View full stats from top 20 games,blabuw01
"Career high, Rebounds",10.0,View full stats from top 20 games,blabuw01
"Career high, Assists",3.0,View full stats from top 20 games,blabuw01
"Career high, Steals",2.0,View full stats from top 20 games,blabuw01
"Career high, Blocks",3.0,View full stats from top 20 games,blabuw01
"Career high, Game Score",15.1,View full stats from top 20 games,blabuw01
"Career high, Points",4.0,View full stats from top 20 games,zimmede01
"Career high, Rebounds",3.0,View full stats from top 20 games,zimmede01
"Career high, Assists",5.0,View full stats from top 20 games,zimmede01
"Career high, Game Score",5.8,View full stats from top 20 games,zimmede01
"Career high, Points",12.0,View full stats from top 20 games,maconda01
"Career high, Rebounds",7.0,View full stats from top 20 games,maconda01
"Career high, Assists",4.0,View full stats from top 20 games,maconda01
"Career high, Steals",1.0,View full stats from top 20 games,maconda01
"Career high, Game Score",8.8,View full stats from top 20 games,maconda01
"Career high, Points",34.0,View full stats from top 20 games,ferraal01
"Career high, Rebounds",9.0,View full stats from top 20 games,ferraal01
"Career high, Assists",10.0,View full stats from top 20 games,ferraal01
