Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
2000-01,26,BOS,NBA,SF,44,0,377,.340,13.3,.732,.278,.155,.093,.206,.268,.338,.481,.267,.222,.250,.346,.333,.889,.000,0,.538,.357,1,0,,griffad01,,,,,,,,,,,,,,,
2001-02,27,DAL,NBA,SG,58,34,1383,.499,11.1,.850,.320,.150,.153,.226,.150,.534,.713,.407,.455,.420,.296,.503,1.000,.008,3,.519,.464,2,0,,griffad01,,,,,,,,,,,,,,,
2002-03,28,DAL,NBA,SG,74,48,1373,.433,12.9,.929,.190,.184,.134,.421,.071,.447,.594,.435,.311,.430,.250,.650,1.000,.012,4,.542,.308,1,0,,griffad01,,,,,,,,,,,,,,,
2003-04,29,HOU,NBA,SG,19,1,133,.278,14.6,.889,.167,.056,.167,.500,.111,.250,.667,.000,.333,.111,.500,.750,.000,.000,0,.500,.000,0,0,,griffad01,,,,,,,,,,,,,,,
2004-05,30,CHI,NBA,SF,69,1,667,.360,12.4,.944,.224,.149,.149,.422,.056,.368,.389,.333,.417,.353,.222,.518,1.000,.000,0,.333,.333,0,0,,griffad01,,,,,,,,,,,,,,,
2005-06,31,DAL,NBA,SG,52,45,1245,.480,9.7,.990,.319,.201,.132,.338,.010,.485,.569,.610,.185,.449,.000,.571,,.015,2,.000,,1,0,,griffad01,,,,,,,,,,,,,,,
2006-07,32,CHI,NBA,SF,54,1,585,.473,10.5,.953,.380,.155,.178,.240,.047,.496,.510,.600,.391,.484,.000,.557,,.008,1,.000,,2,0,,griffad01,,,,,,,,,,,,,,,
2007-08,33,2TM,NBA,SG,35,2,307,.395,7.9,1.000,.382,.171,.263,.184,.000,.395,.448,.308,.450,.286,,.433,,.000,0,,,0,0,,griffad01,,,,,,,,,,,,,,,
2007-08,33,CHI,NBA,SG,22,2,222,.400,8.2,1.000,.383,.133,.283,.200,.000,.400,.391,.250,.529,.333,,.458,,.000,0,,,0,0,,griffad01,,,,,,,,,,,,,,,
2007-08,33,SEA,NBA,SF,13,0,85,.375,7.6,1.000,.375,.313,.188,.125,.000,.375,.667,.400,.000,.000,,.333,,.000,0,,,0,0,,griffad01,,,,,,,,,,,,,,,
